eventid,Date,Time,Latitude,Longitude,Temperature,Humidity,Pressure,WindSpeed,Precipitation,SeismicActivity,DisasterType
1,2020-09-04,12:54:56,9.0673593675792,166.12847286555606,-6.772264839697986,94.32093811272956,808.1559381826622,75.16514768870684,90.89501059827293,5.455088877659369,No
2,2020-08-16,19:32:20,-27.742712948310924,-138.22287560174436,26.359388625115905,41.37621155788112,1069.28183085531,27.558229792351373,97.07371200160448,5.534325083317137,No
3,2020-06-29,09:49:38,-83.30399936790593,48.621492726648285,-18.67071227110575,22.182602237344323,868.1900125144425,111.13991563476765,25.84548496228809,6.430611905330955,No
4,2020-04-11,03:48:02,-65.5334452724276,145.57266432779582,42.48165609324619,16.477402598029066,925.9984142635147,65.07977917115598,29.010146208269223,8.28498843518873,No
5,2020-09-02,15:39:13,48.303782156134716,-31.75963975988259,14.654936521729013,24.54329888641669,1052.0088515525213,4.410645127419676,75.90535791382179,5.369771455011396,No
6,2020-10-16,01:31:44,72.3755673854222,64.55824675029592,-12.799859413894747,39.749691631620145,1021.9013828579465,21.31348795035568,95.98937461262159,4.730970428744929,No
7,2020-08-10,02:39:04,69.2512016257456,157.34593161514536,38.7938664645059,75.1680889577998,817.5141543855325,69.72984984252004,82.45517630394887,8.519376686318198,Yes
8,2020-04-20,18:29:45,-7.122187078499621,-20.752890350583897,-2.7610437637371312,82.12755718959679,1038.0625880879827,79.0162562026794,16.179478721355288,1.1169458593630188,No
9,2020-09-03,09:25:02,1.005211657015991,-23.08866706746292,10.63022280425944,73.7345784574187,1055.4006483926532,66.98821638831188,14.671467579038323,8.523769850957594,Yes
10,2020-06-01,02:06:02,-46.05399361969045,-54.678868217413154,-14.158795136305027,48.943772467673,896.2604485897339,111.0564323452709,28.774694188575147,3.578246827368431,Yes
11,2020-07-11,17:08:45,-47.84232020715819,39.6704908471647,47.426111486629225,19.509266977379447,954.8508280556134,79.37264807368935,65.14637056016338,4.428489815132198,No
12,2020-05-18,02:02:10,86.51607660795473,-71.32288390846537,42.80240616696513,54.94414727859761,912.6028398377401,17.950893068795562,72.85718535714174,3.084820800850079,Yes
13,2020-06-19,10:25:21,-70.43682548067548,-129.18520336794862,28.315996833238117,59.27372420717232,857.2146620040264,52.61970883800011,31.556856009128158,8.502139439031899,No
14,2020-02-28,12:51:30,-21.252385773257345,62.18543213214858,43.51467177228485,97.16139418172429,970.4124770676412,52.425198242496805,71.91532382699322,0.5585721239255287,Yes
15,2020-05-19,11:23:07,-24.540780104461277,-116.32517433571263,28.387973080918037,40.971404682228915,986.9216550947676,82.47879819059112,25.89861339892471,5.224961299774311,No
16,2020-09-27,01:07:28,-69.25711631150328,149.75872739249192,42.81536155002018,78.67381676102077,1017.6849875060507,140.2424565008742,24.020079452535203,8.986642162656265,No
17,2020-04-28,07:50:42,82.0952012824833,-50.118584504903595,35.625455904684166,49.751464687464264,890.3462554665782,68.26526386542425,34.41896780713177,7.652194637834978,No
18,2020-07-12,18:03:53,60.63647713430338,-175.15688287193,-5.57623618424712,86.7411816320488,959.3852777224515,90.82492364336967,7.400783363369156,1.08434655451282,Yes
19,2020-03-08,16:39:14,5.6880478999074455,-169.5659605009037,48.91587106260951,50.97941809747134,966.1830521939814,54.87864595390795,8.747676323687356,0.4159396450506232,No
20,2020-09-13,05:25:10,26.01488252746661,-135.86820014007338,20.491861386091315,14.571582746008072,920.8216779916295,113.82824470884961,39.051265103374625,6.377239857920987,No
21,2020-02-24,05:19:01,43.45340956977414,148.32954859278212,40.69035611265154,52.90539053277813,832.1670900493997,86.63409209589757,84.49605689072891,8.635970237254211,No
